Date,AAPL,GOOGL,IBM
2022-01-03,179.9539031982422,144.9915008544922,123.47931671142578
2022-01-04,177.6699981689453,144.39950561523438,125.2765121459961
2022-01-05,172.94400024414062,137.77499389648438,125.45806121826172
2022-01-06,170.05697631835938,137.74749755859375,122.84396362304688
2022-01-07,170.2250518798828,137.01699829101562,122.38105010986328
2022-01-10,170.24484252929688,138.66949462890625,122.56257629394531
2022-01-11,173.1021728515625,139.73599243164062,120.60199737548828
2022-01-12,173.54710388183594,141.4304962158203,121.25552368164062
2022-01-13,170.24484252929688,138.58700561523438,122.31749725341797
2022-01-14,171.11489868164062,139.48049926757812,121.81831359863281
2022-01-18,167.88185119628906,135.9980010986328,120.6655502319336
2022-01-19,164.35214233398438,135.1165008544922,119.43110656738281
2022-01-20,162.65159606933594,133.3074951171875,118.74129486083984
2022-01-21,160.5753173828125,130.35150146484375,117.40702819824219
2022-01-24,159.7942352294922,130.8040008544922,116.92595672607422
2022-01-25,157.9750213623047,126.93499755859375,123.5337905883789
2022-01-26,157.8860321044922,129.23300170898438,121.8636703491211
2022-01-27,157.42135620117188,129.0050048828125,120.28433227539062
2022-01-28,168.40585327148438,133.3509979248047,122.08152770996094
2022-01-31,172.80557250976562,135.30349731445312,121.23739624023438
2022-02-01,172.6374969482422,137.6439971923828,123.01641082763672
2022-02-02,173.8535919189453,148.0,124.57762145996094
2022-02-03,170.94677734375,143.08999633789062,125.05866241455078
2022-02-04,170.6597442626953,143.29299926757812,124.4868392944336
2022-02-07,169.93704223632812,139.2010040283203,124.56855010986328
2022-02-08,173.07525634765625,139.3990020751953,124.36885833740234
2022-02-09,174.51068115234375,141.5919952392578,125.0677490234375
2022-02-10,170.39242553710938,138.6199951171875,122.65181732177734
2022-02-11,166.94737243652344,134.28250122070312,121.88937377929688
2022-02-14,167.18496704101562,135.5260009765625,119.55612182617188
2022-02-15,171.05569458007812,136.60850524902344,119.36322784423828
2022-02-16,170.81813049316406,137.73800659179688,118.66508483886719
2022-02-17,167.18496704101562,132.53900146484375,114.79776763916016
2022-02-18,165.62081909179688,130.4029998779297,114.22823333740234
2022-02-22,162.67074584960938,129.81350708007812,113.8332290649414
2022-02-23,158.46339416503906,127.58799743652344,112.13381958007812
2022-02-24,161.10659790039062,132.6909942626953,112.04196166992188
2022-02-25,163.19540405273438,134.45950317382812,114.07207489013672
2022-02-28,163.4626922607422,135.0570068359375,112.53800964355469
2022-03-01,161.5619659423828,134.06149291992188,111.47242736816406
2022-03-02,164.8882293701172,134.57150268554688,113.77812194824219
2022-03-03,164.56155395507812,133.89950561523438,115.67963409423828
2022-03-04,161.53225708007812,131.906494140625,116.31346130371094
2022-03-07,157.7010955810547,126.37850189208984,115.8082275390625
2022-03-08,155.8597869873047,127.10449981689453,115.4499740600586
2022-03-09,161.31446838378906,133.4199981689453,115.94601440429688
2022-03-10,156.92893981933594,132.42950439453125,114.22823333740234
2022-03-11,153.17697143554688,129.87049865722656,113.8699722290039
2022-03-14,149.1082000732422,125.95099639892578,113.85161590576172
2022-03-15,153.53335571289062,129.197998046875,115.41323852539062
2022-03-16,157.98818969726562,133.28050231933594,116.69927215576172
2022-03-17,159.00784301757812,133.83900451660156,117.54438018798828
2022-03-18,162.33412170410156,136.12550354003906,118.27926635742188
2022-03-21,163.72007751464844,136.10150146484375,117.67300415039062
2022-03-22,167.12554931640625,139.8679962158203,118.55484008789062
2022-03-23,168.5016326904297,138.27549743652344,117.8567123413086
2022-03-24,172.32286071777344,141.57200622558594,118.72938537597656
2022-03-25,172.9663543701172,141.67300415039062,120.65846252441406
2022-03-28,173.83749389648438,141.45550537109375,120.7686767578125
2022-03-29,177.16378784179688,142.5054931640625,121.20043182373047
2022-03-30,175.9857177734375,141.93850708007812,121.37496185302734
2022-03-31,172.85743713378906,139.0675048828125,119.43671417236328
2022-04-01,172.56045532226562,140.15049743652344,119.55612182617188
2022-04-04,176.6490020751953,142.97149658203125,119.6663589477539
2022-04-05,173.3029327392578,140.59100341796875,118.39868927001953
2022-04-06,170.1053466796875,136.54800415039062,118.85798645019531
2022-04-07,170.41224670410156,135.8885040283203,118.08637237548828
2022-04-08,168.38279724121094,133.28750610351562,117.3331069946289
2022-04-11,164.08636474609375,128.82350158691406,116.08380889892578
2022-04-12,165.9772186279297,127.7145004272461,115.72555541992188
2022-04-13,168.689697265625,129.8939971923828,115.8725357055664
2022-04-14,163.63096618652344,126.7300033569336,116.25834655761719
2022-04-18,163.4132080078125,127.67649841308594,115.90008544921875
2022-04-19,165.7198028564453,130.00900268554688,118.63751983642578
2022-04-20,165.551513671875,128.0399932861328,127.06111145019531
2022-04-21,164.7496337890625,124.81449890136719,128.46656799316406
2022-04-22,160.1660919189453,119.635498046875,126.99681854248047
2022-04-25,161.24517822265625,123.0739974975586,127.77762603759766
2022-04-26,155.22621154785156,118.6500015258789,125.10448455810547
2022-04-27,154.99853515625,114.29450225830078,124.06646728515625
2022-04-28,161.99754333496094,118.52249908447266,124.69111633300781
2022-04-29,156.06765747070312,114.1094970703125,121.44844055175781
2022-05-02,156.37457275390625,116.58300018310547,122.21088409423828
2022-05-03,157.8793182373047,117.33399963378906,121.73323059082031
2022-05-04,164.35366821289062,122.26100158691406,126.21598815917969
2022-05-05,155.19650268554688,116.50550079345703,124.8564682006836
2022-05-06,155.93016052246094,115.74649810791016,126.46400451660156
2022-05-09,150.75494384765625,112.51100158691406,124.99502563476562
2022-05-10,153.1839141845703,114.3949966430664,120.05807495117188
2022-05-11,145.24267578125,113.60250091552734,121.56425476074219
2022-05-12,141.3364715576172,112.84400177001953,123.56320190429688
2022-05-13,145.84744262695312,116.05049896240234,124.21404266357422
2022-05-16,144.29090881347656,114.44499969482422,125.5435791015625
2022-05-17,147.9591522216797,116.4729995727539,128.64891052246094
2022-05-18,139.61141967773438,111.89949798583984,123.60041046142578
2022-05-19,136.17120361328125,110.38400268554688,120.55084228515625
2022-05-20,136.4091339111328,108.90799713134766,119.45372772216797
2022-05-23,141.88177490234375,111.48799896240234,121.95475769042969
2022-05-24,139.15536499023438,105.97000122070312,124.39998626708984
2022-05-25,139.3140106201172,105.80500030517578,124.94853210449219
2022-05-26,142.54603576660156,107.7925033569336,127.27290344238281
2022-05-27,148.35572814941406,112.31649780273438,129.48570251464844
2022-05-31,147.56259155273438,113.76200103759766,129.08590698242188
2022-06-01,147.4337158203125,113.89199829101562,129.6344451904297
2022-06-02,149.91224670410156,117.62249755859375,130.30386352539062
2022-06-03,144.1322784423828,114.54100036621094,131.26150512695312
2022-06-06,144.88575744628906,116.82050323486328,132.84207153320312
2022-06-07,147.4337158203125,117.14949798583984,132.74908447265625
2022-06-08,146.6901397705078,117.19400024414062,130.93609619140625
2022-06-09,141.41580200195312,114.83550262451172,128.26773071289062
2022-06-10,135.95310974121094,111.1614990234375,126.6220703125
2022-06-13,130.74815368652344,106.39250183105469,125.61793518066406
2022-06-14,131.62057495117188,106.71549987792969,126.18510437011719
2022-06-15,134.2676544189453,109.7645034790039,127.43095397949219
2022-06-16,128.94375610351562,106.03350067138672,126.13861846923828
2022-06-17,130.43089294433594,107.14350128173828,125.53426361083984
2022-06-21,134.70388793945312,111.54399871826172,128.16546630859375
2022-06-22,134.1883544921875,111.48750305175781,127.44955444335938
2022-06-23,137.08331298828125,112.24199676513672,128.7139892578125
2022-06-24,140.4442138671875,117.9749984741211,132.07969665527344
2022-06-27,140.4442138671875,115.83350372314453,132.7677001953125
2022-06-28,136.26043701171875,112.00749969482422,131.89373779296875
2022-06-29,138.03506469726562,111.70149993896484,130.82455444335938
2022-06-30,135.54661560058594,108.96299743652344,131.27081298828125
2022-07-01,137.7376251220703,108.73750305175781,131.20570373535156
2022-07-05,140.34507751464844,113.26300048828125,127.95159912109375
2022-07-06,141.69337463378906,114.5719985961914,128.3793182373047
2022-07-07,145.09397888183594,118.78299713134766,130.93609619140625
2022-07-08,145.7780303955078,119.35350036621094,130.6013946533203
2022-07-11,143.6266632080078,115.67649841308594,131.09414672851562
2022-07-12,144.60816955566406,114.02050018310547,129.40200805664062
2022-07-13,144.2413330078125,111.35350036621094,127.54251098632812
2022-07-14,147.1957550048828,110.36750030517578,129.2904510498047
2022-07-15,148.8811798095703,111.77749633789062,130.09002685546875
2022-07-18,145.8077850341797,109.02999877929688,128.42579650878906
2022-07-19,149.7040557861328,113.80999755859375,121.68513488769531
2022-07-20,151.72653198242188,113.9000015258789,120.10456085205078
2022-07-21,154.01670837402344,114.33999633789062,118.21717071533203
2022-07-22,152.7675323486328,107.9000015258789,119.23989868164062
2022-07-25,151.63731384277344,107.51000213623047,119.50951385498047
2022-07-26,150.2989044189453,105.0199966430664,119.08183288574219
2022-07-27,155.44435119628906,113.05999755859375,120.04877471923828
2022-07-28,155.9995574951172,114.22000122070312,120.1417465209961
2022-07-29,161.11524963378906,116.31999969482422,121.60144805908203
2022-08-01,160.1238250732422,114.86000061035156,122.76362609863281
2022-08-02,158.63670349121094,115.12999725341797,122.5497817993164
2022-08-03,164.7041778564453,118.08000183105469,123.04255676269531
2022-08-04,164.38694763183594,118.19000244140625,122.3917236328125
2022-08-05,164.1586151123047,117.47000122070312,123.17271423339844
2022-08-08,163.6820526123047,117.30000305175781,123.29358673095703
2022-08-09,163.731689453125,116.62999725341797,121.89081573486328
2022-08-10,168.0205841064453,119.69999694824219,123.80196380615234
2022-08-11,167.27597045898438,118.83999633789062,124.78109741210938
2022-08-12,170.85997009277344,121.68000030517578,126.1650390625
2022-08-15,171.9420928955078,122.08000183105469,127.03118133544922
